Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	Sample_0	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18	Sample_19	Sample_20	Sample_21	Sample_22	Sample_23	Sample_24	Sample_25	Sample_26	Sample_27	Sample_28	Sample_29	Sample_30	Sample_31	Sample_32	Sample_33	Sample_34	Sample_35	Sample_36	Sample_37	Sample_38	Sample_39	Sample_40	Sample_41
Q4V321	Q4V321	Q4V321	Q4V321		75593.6	73585.5	75471.8	74025.5	79141.3	75279.6	76517.8	72650.8	71117.2	76691.7	72160.5	80197.9	66838.2	66031.9	61687.7	75129.4	72687.9	74507.0	78946.0	77402.1	76846.7	78933.7	77997.6	77073.7	74229.5	75936.1	74925.6	75860.0	76387.1	71214.3	74400.1	75977.6	74796.1	80414.3	77599.0	73871.5	81470.1	80822.6	77471.8	75200.3	73899.8	72445.9
Q9P1G2	Q9P1G2	Q9P1G2	Q9P1G2		2887.29	4200.7	4326.96	4331.35	3406.25	3974.41	3901.06	3534.79	5376.77	3365.05	5128.47	5100.33	4148.98	4834.48	4951.27	5086.8	3896.42	3660.17	4718.09	4482.37	4797.07	4731.39	4675.32	4845.68	5338.53	5459.26	4569.64	4046.06	5034.07	4413.35	7105.69	3744.2	4165.72	3388.94	4236.13	4254.79	4847.63	6451.43	4614.78	4824.64	4258.72	3546.0
Q5VT06	Q5VT06	Q5VT06	Q5VT06		1450.94	1291.53	2331.71	2224.39	1915.62	1966.99	2115.59	2788.47	2468.33	1809.14	1470.58	1761.0	1379.61	2056.35	2159.17	1638.27	1540.97	1400.74	852.666		1213.11		1575.85	1388.33	1452.35	1556.54	1094.76	1178.34	1291.42	1626.92	1181.88	1205.83	1448.18	1076.54	1552.98	1323.56	1221.74	1218.78	1829.27	1584.84	1395.76	1672.6
Q7Z6P3	Q7Z6P3	Q7Z6P3	Q7Z6P3					1434.59			1866.63		1821.44	2144.07	942.172	1903.89							3056.64	1554.82	1566.43	1597.36						2212.78	2114.74	1850.76	1712.61				1263.63	1162.18		1245.82				
Q9NS15	Q9NS15	Q9NS15	Q9NS15		2671.98	2797.16	2953.07	2837.88	3379.08	2879.7	2689.04	2869.39	1661.24	3412.32	2873.02	3179.17	2648.11	3732.72	3711.25	3770.34	3471.09	3200.55	3303.26	2757.65	2759.31	2313.53	2738.71	2641.87	3251.76	3664.89	2697.62	3633.82	2673.23	2790.82	2355.92	2866.2	2615.3	2902.97	3583.19	3921.3	3002.23	3176.52	3409.07	3095.04	2802.08	2923.52
Q9H0A0	Q9H0A0	Q9H0A0	Q9H0A0		12048.0	13870.8	13508.9	11932.9	13774.7	13665.9	12802.4	13352.7	11353.6	13810.8	12437.3	12610.3	13984.5	13634.9	12282.2	13108.5	13218.2	11283.4	12444.8	14209.6	11160.4	13080.2	13657.2	13386.2	13628.2	13353.6	13145.2	12219.5	13481.9	13784.0	12780.1	13471.4	12532.7	13359.0	12226.9	12960.7	14308.5	14945.3	15242.8	13716.7	13931.3	13216.3
Q5JQF8	Q5JQF8	Q5JQF8	Q5JQF8		8926.69	8712.17	9281.53	9090.17	8922.06	8962.62	9057.79	8959.74	9091.67	9270.39	9368.33	9921.06	7743.82	7780.58	7618.8	8748.65	9458.06	9333.46	8881.18	9322.53	8999.74	9387.74	10115.3	8850.91	9262.55	9283.86	9925.5	9467.59	9400.76	9496.76	9218.56	9700.22	9330.47	9623.62	8648.38	8979.97	9375.48	10296.3	9951.93	9405.46	9214.47	8626.07
Q8NEZ4	Q8NEZ4	Q8NEZ4	Q8NEZ4			2974.79	1860.6	2443.84	3514.12					2218.1	3027.76	3002.92	3072.15		3041.51	2552.6	2668.46	2704.52		2685.97	3092.28	2345.14	2057.98		3160.11	2357.74	2512.61	2464.0	2359.02	2657.89	2056.46	3487.41	2572.98	2677.85		2497.92	2523.48	2313.17	3077.61	3273.58	3149.43	3475.98
Q8NEZ4;Q9H777	Q8NEZ4;Q9H777	Q8NEZ4;Q9H777	Q8NEZ4;Q9H777		259325.0	250211.0	206877.0	287267.0	263125.0	263089.0	224925.0	276030.0	254647.0	271230.0	278561.0	246852.0	337383.0	309702.0	326749.0	293032.0	288220.0	247473.0	231298.0	279108.0	339897.0	315871.0	322903.0	300188.0	412734.0	338512.0	302702.0	290641.0	252689.0	312568.0	272608.0	270036.0	308106.0	244205.0	260270.0	270810.0	303698.0	312498.0	315771.0	274317.0	294668.0	371371.0
Q8NE00	Q8NE00	Q8NE00	Q8NE00		1990.89	1639.22	1384.14	1630.04	1967.27	1673.55	2578.4	1535.04		2006.77	2042.15		1949.19	2119.79	2017.66	2272.87		1711.55	2180.71	2245.34	2137.88	2314.54		2817.27	1960.32	2076.08		1577.84		1953.31	1792.57	2341.16	1755.74	1801.09		2057.42	1867.38		2203.14	2237.91	1744.85	1963.11
P49910	P49910	P49910	P49910		9236.36	9780.25	9029.62	11618.2	11364.7	10934.2	10005.1	11140.4	10277.1	10198.7	11002.4	10539.3	10031.6	9694.7	10105.6	10693.3	11315.9	11213.7	10907.0	10558.1	10677.1	10308.7	10219.3	9961.74	11380.1	11691.3	11683.2	10580.5	9126.38	8746.23	10590.8	10365.6	10899.1	11974.0	10814.1	10914.9	11243.2	10873.3	11346.8	11001.4	10702.9	11257.5
P25815	P25815	P25815	P25815		6433.25	5159.9	5687.52	4671.12	4614.98	5529.85	5040.95	5043.08	5721.52	6152.34	5537.73	5377.41	5198.35	5118.38	5033.81	6761.17	4997.87	5661.03	5574.57	5875.49	5803.3	4820.9	5299.45	5537.85	4701.58	5962.62	5488.18	4989.98	5062.38	5723.77	5186.16	6920.17	5860.32	5819.82	5690.88	5825.44	5190.1	5761.99	5831.44	5173.69	5480.28	4509.23
P25815;Q96KW9	P25815;Q96KW9	P25815;Q96KW9	P25815;Q96KW9		4628.26	6616.33	5446.81	5832.43	6593.56	8371.74	3771.82	5126.1	6742.63	7730.49	5549.69	7201.08	7912.82	5460.21	4549.78	6974.46	9568.79	7689.04	6954.7	6689.66	7536.13	8211.94	9127.31	9199.83	5496.92	8274.13	6511.35	9361.98	8631.45	7568.96	9108.33	8304.24	9783.87	8588.05	8011.17	8100.18	10377.6	9812.18	9381.95	12632.9	9441.74	10224.7
P0DKX0	P0DKX0	P0DKX0	P0DKX0		7246.43	6711.69	7860.77	8920.47	7004.08	8342.01	7217.44	7682.9	6754.1	7131.55	9842.69	6574.37	7895.95	7976.02	8227.12	9149.95	8237.74	7444.54	7123.0	7283.29	8144.57	8499.36	10697.5	7948.92	7115.7	5711.34	5725.79	7104.15	8444.91	8584.12	6751.63	7861.11	8276.89	8230.55	8678.48	9881.3	6392.68	5900.84	5808.95	7052.38	8487.03	7693.64
Q93015	Q93015	Q93015	Q93015		5623.03	5633.34	6617.85	5804.33	6123.08	6161.67	4783.83	5601.84	7284.08	5981.6	6034.91	5664.54	5651.29	6328.55	5735.1	6395.46	6263.32	7077.23	6829.72	6500.04	6398.64	6019.41	6292.53	6682.02	5928.45	6628.16	6442.14	7244.85	6939.72	5721.42	6436.85	6217.74	5783.49	6523.25	6974.22	6435.62	5978.47	6697.45	8298.42	7446.41	6194.84	6930.24
A0A0U1RQS6	A0A0U1RQS6	A0A0U1RQS6	A0A0U1RQS6		2397.41	770.758	412.014							3376.25		2415.91				2998.82	2555.66	1860.42	3617.98	3820.42			2554.53			2199.59	3168.08	3339.48			2959.12		3051.55		2559.01	2012.67	2145.25	2526.63		3081.16	1781.6	2009.12
A0A1B0GV22	A0A1B0GV22	A0A1B0GV22	A0A1B0GV22		2522.84	1793.74	1787.92	1469.66	1770.75	1954.35	2406.52	1782.68	1432.96	1624.09	2045.74	1641.24	1727.43	1555.55	2058.65	1867.5	2165.09	1806.23	2101.54	2162.38	1776.11	2491.74	2374.61	2567.71	1771.68	1726.51	2030.74	2206.8	2066.79	1850.53	2734.46	2239.15	2559.09	1891.8	1997.88	1995.3	2198.94	2500.22	2211.53	2408.79	1695.76	2181.89
P27816	P27816	P27816	P27816		70845.5	69872.8	69950.9	66329.0	67809.1	69716.4	66546.6	67176.6	66801.3	68348.7	67830.2	67198.2	54915.5	52342.7	56859.4	69087.7	66596.0	68474.3	66474.2	66019.1	70616.0	59384.3	65730.0	62428.0	70192.0	69385.8	70043.2	67511.1	66459.0	67622.2	65709.4	65323.4	64070.0	67710.7	65194.5	67417.0	68669.9	68600.4	68604.9	68489.4	67092.0	67283.2
Q9BZC1	Q9BZC1	Q9BZC1	Q9BZC1		1438.8	1479.93		2421.14	1860.72	1698.97				1337.22	1737.76	1990.52		1197.46	1748.81	1650.2	2789.66	1982.97	1420.92	2052.79			1758.52	1854.05	1804.85	1958.08	1780.12	2545.45	2546.56	1536.07				1505.74	2107.33	2597.87		1114.82	1267.06	2792.92	1906.46	1269.78
Q8N4T8;Q96KR4	Q8N4T8;Q96KR4	Q8N4T8;Q96KR4	Q8N4T8;Q96KR4		14541.9	13895.9	15154.2	12344.5	17398.2	18167.8	17785.8	15378.0	11858.6	17306.5	21161.8	17325.7	11543.6	17700.1	14542.4	14161.9	17206.6	15721.5	16253.3	13825.9	14333.0	15526.2	18418.9	18532.8	16793.7	15764.5	18247.1	15282.2	17846.5	16613.9	18488.3	17137.1	15543.8	16282.6	18178.5	18492.7	17401.4	14486.3	16687.4	16982.0	16553.2	14199.2
Q8NGC4	Q8NGC4	Q8NGC4	Q8NGC4		25054.0	23749.5	25327.7	24065.3	25286.6	22654.7	28468.3	25286.5	24736.3	22385.2	23171.2	21170.2	28807.0	32241.1	28844.9	22359.7	19079.3	22385.9	20901.6	20315.1	21477.1	23906.8	23218.5	22518.6	23087.5	19302.4	22040.0	21673.5	23619.4	22952.1	23056.7	20873.5	19107.9	20431.4	21442.9	19434.8	19448.4	19345.1	18525.3	21289.6	20142.1	19756.6
Q9GZU5	Q9GZU5	Q9GZU5	Q9GZU5		34714.6	30523.2	33224.4	33072.0	24273.6	26266.7	29628.1	30692.0	32849.6	30836.5	28116.4	23832.9	22110.1	25680.3	28368.8	32007.6	29512.9	30664.2	25574.4	22870.7	20831.7	29537.6	27347.3	24952.5	24858.9	28671.2	27465.9	34170.6	30313.5	33669.6	29038.7	35253.9	32894.6	28478.2	31547.5	28181.8	32164.6	29134.9	23104.3	25984.3	27134.9	30900.9
Q8IUR0	Q8IUR0	Q8IUR0	Q8IUR0		5391.52	6527.09	5300.12	4956.19	4630.89	6332.62	5848.13	7122.18	6521.05	6171.74	6350.5	6964.21	5703.45	5626.21	7495.58	6808.52	6862.72	7409.68	5170.49	5236.44	5420.1	6888.38	5668.22	5724.61	5808.04	4834.17	5580.98	5841.62	6217.04	5779.4	5476.14	6119.46	5537.22	6561.32	7157.29	5970.74	5614.4	6748.36	5197.61	6556.75	6829.03	6630.62
P38117;O14764	P38117;O14764	P38117;O14764	P38117;O14764		35176.5	37216.0	36809.7	33828.9	34515.5	35054.7	39447.2	39646.4	35192.5	35630.2	33907.1	36664.1	39259.1	41915.3	42015.6	35849.2	34441.1	32280.0	32342.4	31315.2	30090.6	35306.6	34692.0	38533.7	35252.3	33260.7	33937.1	35094.1	35354.0	33850.7	36114.3	37462.1	36249.8	34138.7	33992.5	33914.8	34066.6	33630.8	35401.8	34912.6	36939.3	35673.6
Q9H1X1;Q2KHR3;Q8NDV2	Q9H1X1;Q2KHR3;Q8NDV2	Q9H1X1;Q2KHR3;Q8NDV2	Q9H1X1;Q2KHR3;Q8NDV2				228.707		380.911	296.03				368.298	245.843		1333.12	844.593	1223.75	335.347	443.601	246.253		588.496	580.529								462.899													
Q9H1X1;Q2KHR3;Q8NDV2;Q92729	Q9H1X1;Q2KHR3;Q8NDV2;Q92729	Q9H1X1;Q2KHR3;Q8NDV2;Q92729	Q9H1X1;Q2KHR3;Q8NDV2;Q92729		236629.0	259113.0	259769.0	362578.0	329306.0	325986.0	382595.0	410327.0	242377.0	367039.0	262254.0	307397.0	525329.0	504655.0	325917.0	364982.0	329378.0	364524.0	334794.0	199855.0	227416.0	223078.0	196896.0	320319.0	228900.0	243797.0	206969.0	257836.0	193652.0	224603.0	224380.0	294247.0	249596.0	233253.0	152862.0	186380.0	194566.0	158506.0	238214.0	146768.0	266278.0	233221.0
Q96F85;Q9Y5I3	Q96F85;Q9Y5I3	Q96F85;Q9Y5I3	Q96F85;Q9Y5I3		12919.8	10841.9	13039.0	14208.3	13681.2	13267.7	12125.0	13222.2	14533.9	14899.4	13767.9	14691.6	13893.7	16720.8	12910.7	14024.2	14496.0	12029.0	13301.6	13318.4	13990.5	17074.8	13208.7	13998.4	9317.6	10280.7	9318.32	13378.7	11063.6	12591.3	13790.7	15302.3	14043.0	14107.4	14711.7	13266.2	10342.8	10086.9	11053.6	14242.3	14510.5	13243.1
Q9H9C1	Q9H9C1	Q9H9C1	Q9H9C1		19961.5	20633.5	20627.8	19891.3	18556.9	18768.8	19291.4	18926.6	17582.6	19540.7	20202.5	20016.5	13533.7	14204.8	13071.6	20534.6	20465.3	20208.3	21311.4	20773.7	20395.8	16577.4	15437.9	13988.6	20644.0	20197.8	19523.9	20815.5	20947.8	20058.4	21252.8	20219.0	22244.2	21823.4	20741.3	21249.6	22562.6	23154.6	21962.4	20135.9	20109.5	20473.1
O75694	O75694	O75694	O75694		2278.52	3006.74	2800.8	3311.74	2943.45	2903.36	2636.59	2695.63	4202.59	2207.81	3299.74	2888.77	2538.25	2565.27	3064.57	3242.72	2405.54	1766.25	2269.95	2277.07	2667.36	3350.31	2655.4	2593.87	2442.72	2146.04	2193.68	2930.88	3451.53	3635.98	2863.25	2863.8	2008.09	1416.08	2265.56	2235.36	3990.96	2932.9	2826.23	4490.48	2929.25	2959.65
Q5TFQ8	Q5TFQ8	Q5TFQ8	Q5TFQ8		1638.34	2088.66	1495.29	975.16	1541.36	1176.0	960.095	678.967	1393.53	1383.82	1504.35	833.995	1338.13	1214.04	1050.91	1829.37	1283.27	1763.02	1546.01	1481.69	1374.64	1340.74	1107.38	1070.11	2182.83	819.016	1200.41	1013.88	971.123	1043.23	1323.25	1241.1	1312.03	1265.25	1373.5	1325.27	1123.33	1185.49	1289.6	772.853	974.475	929.359
Q9BV36	Q9BV36	Q9BV36	Q9BV36		5773.31	5405.09	5558.78	5644.45	6418.34	6829.59	6007.39	5290.57	5518.32	7107.04	5870.87	6427.88	6729.4	6720.22	6672.33	6021.81	5357.38	5984.27	6295.28	6197.22	6558.77	5588.7	5029.32	5997.0	6607.44	5953.82	7389.36	5528.25	5273.17	5101.09	5125.2	4989.48	4559.49	5822.98	5731.86	4506.17	5761.27	6106.96	5563.67	6618.19	5231.15	6409.01
Q7Z2W9	Q7Z2W9	Q7Z2W9	Q7Z2W9		4563.65	4982.2	6332.03	5946.37	5219.75	5917.91	4887.78	5976.01	6033.86	8310.02	4846.82	4508.1	6782.33	6036.33	4335.82	5338.14	5405.89	5389.47	5736.13	6619.6	5885.82	6215.56	5289.8	5314.05	6271.0	5490.6	6840.34	6055.86	5960.4	7389.84	6522.15	6245.52	7261.45	6660.68	5323.61	4744.19	4932.87	5789.41	5197.45	5449.82	4829.8	6138.18
P20309;A4D2B8;Q99440;P0C7A2;P08729;O15151;Q13469	P20309;A4D2B8;Q99440;P0C7A2;P08729;O15151;Q13469	P20309;A4D2B8;Q99440;P0C7A2;P08729;O15151;Q13469	P20309;A4D2B8;Q99440;P0C7A2;P08729;O15151;Q13469		135941.0	158659.0	151957.0	152798.0	157903.0	110178.0	116258.0	93087.6	123003.0	136524.0	129161.0	129624.0	156903.0	156021.0	137302.0	153398.0	161309.0	143880.0	166641.0	110811.0	149980.0	77569.1	126289.0	210081.0	126074.0	144243.0	122518.0	98282.6	132026.0	133864.0	125342.0	135656.0	161351.0	147066.0	126753.0	140829.0	145034.0	136940.0	172603.0	159159.0	138300.0	158866.0
P20309;A4D2B8;Q99440;P0C7A2;O15151	P20309;A4D2B8;Q99440;P0C7A2;O15151	P20309;A4D2B8;Q99440;P0C7A2;O15151	P20309;A4D2B8;Q99440;P0C7A2;O15151		367796.0	396082.0	380466.0	432810.0	462202.0	480709.0	457411.0	464954.0	461973.0	435688.0	405770.0	400713.0	425674.0	402359.0	389817.0	359695.0	362050.0	327707.0	379514.0	347998.0	364834.0	370416.0	385213.0	368279.0	330954.0	344410.0	327140.0	333653.0	324326.0	319328.0	341006.0	339581.0	334881.0	341660.0	340167.0	343179.0	302897.0	313687.0	317150.0	387732.0	401045.0	375129.0
P20309;Q99440;P0C7A2;Q13469	P20309;Q99440;P0C7A2;Q13469	P20309;Q99440;P0C7A2;Q13469	P20309;Q99440;P0C7A2;Q13469		57816.6	60951.0	61503.3	77092.0	73472.3	69635.7	73289.8	65892.9	62876.9	72148.5	70131.1	73791.6	72560.8	65514.3	73456.4	65327.3	69965.8	65903.7	65838.7	63823.4	71504.3	69878.0	76884.8	76851.8	66531.7	57940.3	65502.8	69316.2	68548.2	30273.8	70150.8	66356.9	61628.8	65491.3	70272.6	62904.8	64315.6	65006.7	65250.2	66516.6	72062.6	72528.1
Q8WVT3;Q8IXI1	Q8WVT3;Q8IXI1	Q8WVT3;Q8IXI1	Q8WVT3;Q8IXI1		33085.2	31724.8	30275.7	27218.3	28985.7	31410.8	28100.8	31611.1	27580.9	31344.3	32332.1	30476.9	33611.2	32943.8	32990.0	31795.6	32910.7	30307.6	31127.4	33843.1	33802.4	32981.8	35078.8	33388.7	32222.7	31328.2	36936.2	34699.1	34106.3	34316.5	32744.5	35395.0	35784.4	32561.0	33972.8	31658.8	34363.1	38114.9	33627.4	33647.7	30840.5	32022.2
P30405	P30405	P30405	P30405																							8474.86																				
Q9H3M0	Q9H3M0	Q9H3M0	Q9H3M0		3664.81	3753.36	3862.97	5263.72	4317.93	4724.78	5799.48	4998.59	4221.07	5096.14	4128.99	4040.59	4612.68	5434.57	5971.77	4561.14	4122.63	4590.75	4277.17	3845.1	5214.22	5026.35	5558.83	4870.57	4727.63	5330.79	3959.66	2688.66	2535.06	2988.81	4873.04	4171.59	3584.84	4578.14	5364.46	5275.22	4839.1	5053.77	4642.12	4042.96	4175.08	5413.86
P28698	P28698	P28698	P28698		46193.2	46394.1	45794.1	45507.4	44807.0	46475.0	43852.2	42034.8	40118.8	46062.7	45135.2	44898.6	39724.6	40171.6	39312.1	51116.8	48792.2	48216.4	47198.4	45520.8	43425.8	45287.9	46998.3	45582.2	40961.1	38219.8	37837.9	47249.8	45957.1	45731.9	48339.8	44383.4	48717.7	52381.8	47769.6	50624.8	40002.2	40316.1	40690.0	49056.3	47561.3	48525.7
P35372	P35372	P35372	P35372		3557.02	4180.52	4459.07	4222.9	4617.3	4290.76	3727.62	4294.36	3361.1	4140.14	4463.61	3830.15	3878.71	4454.08	5169.32	4313.79	3859.7	3602.69	3444.26	4116.17	3118.86	4011.54	3873.87	3774.61	2597.16	4230.87	3009.95	3410.33	2719.76	3973.8	3105.96	3518.16	4068.64	4441.8	4033.96	4141.79	3495.34	3167.18	4210.57	3806.38	4525.24	4760.31
Q9Y281;Q16514	Q9Y281;Q16514	Q9Y281;Q16514	Q9Y281;Q16514		3137.02	3403.74	3046.97	2814.48	3094.48	3169.25	2431.81	2768.23	3683.62	3570.51	2953.25	2757.46	2588.19	2311.83	2331.21	3422.11	2628.59	3084.52	3028.81	3440.24	3736.45	2331.18	2857.35	2333.9	929.588	546.164	649.043	3684.75	4351.33	3575.49	3600.2	3865.64	3913.96	2597.78	3115.51	3523.84	1574.99	973.742	804.824	2851.22	3924.42	3335.21
Q96MN5;Q16600	Q96MN5;Q16600	Q96MN5;Q16600	Q96MN5;Q16600		7694.46	7872.06	7774.39	7833.65	7663.21	7644.95	8371.6	8121.11	7994.29	7876.03	7473.31	7775.64	7684.98	7595.93	7720.93	7781.27	8151.19	8782.87	7618.04	7827.6	7725.99	7865.75	8282.81	8415.78	5473.16	3978.85	6119.55	7194.28	8488.07	8170.73	7097.75	7601.86	7656.84	6916.2	7719.82	7194.37	4180.0	4618.53	3672.08	7895.16	8463.73	8174.41
Q9HAT0	Q9HAT0	Q9HAT0	Q9HAT0		16852.3	17511.5	18394.9	18286.9	18891.4	17353.3	16175.1	17445.4	14916.6	13860.7	15789.6	18682.4	15096.2	15765.4	14063.9	13784.7	19923.2	15454.5	18768.3	12546.8	16851.4	10393.7	13614.4	11653.5	14169.7	19494.9	18000.2	18570.2	15069.0	14535.6	14037.9	15356.8	17134.8	17196.6	15367.7	19974.7	16695.2	16392.2	17451.8	18525.8	21287.7	20548.2
P51522;Q8TD57;Q9H7T3	P51522;Q8TD57;Q9H7T3	P51522;Q8TD57;Q9H7T3	P51522;Q8TD57;Q9H7T3		218637.0	219875.0	214597.0	147495.0	198585.0	193903.0	174131.0	173544.0	179159.0	221087.0	207736.0	205942.0	244787.0	245325.0	229133.0	206860.0	207997.0	204144.0	206056.0	206358.0	204962.0	193366.0	178892.0	178643.0	202833.0	198611.0	188795.0	221763.0	197434.0	206121.0	166821.0	170125.0	139543.0	205747.0	196287.0	209496.0	196917.0	198238.0	201316.0	186676.0	194197.0	177283.0
Q8IVG9	Q8IVG9	Q8IVG9	Q8IVG9		6538.06	6617.21	5667.12	9271.16	8547.03	6137.33	8225.39	9304.06	9225.12	7342.66	9472.62	8615.43	9180.17	7935.14	8762.8	8336.82	6836.45	8211.03	8093.54	7154.67	8402.34	9817.57	7000.45	7291.87	4838.99	5732.53	3749.79	8937.06	9894.84	8096.69	9753.58	9065.86	8135.67	9042.74	6999.87	9341.95	5503.0	5092.91	6031.46	11351.6	10581.4	8544.48
Q86YR6	Q86YR6	Q86YR6	Q86YR6		36193.0	34669.1	33486.5	36312.8	35657.4	35004.0	35953.1	34813.6	33823.6	35263.2	36524.1	34656.3	34900.5	33395.5	32908.6	35965.0	35448.4	33675.2	35355.9	32398.1	33136.8	35698.3	36062.2	37368.2	37269.1	36056.6	36254.8	36804.5	36978.9	37776.0	37484.4	36095.1	36738.8	35594.9	34881.3	36449.9	37518.4	39195.7	38234.2	37217.1	35509.5	35844.5
O75897	O75897	O75897	O75897		32178.7	32589.4	31431.7	30615.2	32683.2	28518.2	24557.3	28605.6	27166.4	28188.6	30034.2	27927.2	29394.8	29524.0	27224.4	33924.9	34154.2	35067.9	31403.2	30665.3	32147.8	29822.4	31189.9	29395.9	32833.8	33295.4	32142.1	35334.2	33274.0	36442.4	32484.4	32827.2	30603.9	33895.9	33392.5	34831.4	35652.2	35942.3	32641.5	34904.5	32334.0	34244.5
